Elev_ID;Koen;Alder;Gennemsnitskarakter;Foraeldreuddannelsesniveau;Deltager_i_fritidsaktiviteter;Transporttid;Deltidsjob;Yndlingsfarve;Har_kaeledyr;Fravaersprocent;Stoppet
36;0;19;7.3;2;1;21;0;Roed;0;18;1
37;1;17;6.4;4;0;22;1;Gul;0;37;0
38;0;17;12.7;2;0;24;1;Blaa;0;18;0
39;0;18;3.1;4;1;39;1;Blaa;1;23;1
40;0;16;6.3;4;1;23;1;Lilla;1;11;1
41;0;17;12.4;2;0;45;0;Gul;0;45;1
42;0;20;11.3;1;0;27;0;Lilla;1;12;0
43;1;17;10.7;2;1;9;0;Groen;1;23;0
44;1;17;5.2;4;1;48;0;Blaa;0;2;0
45;1;16;4.2;1;1;21;0;Lilla;0;33;0
46;1;19;9.1;2;0;29;0;Groen;1;18;1
47;1;17;11.4;2;0;43;0;Lilla;0;3;0
48;0;18;8.1;2;0;23;0;Gul;1;45;1
49;1;19;8.5;1;1;8;0;Gul;0;3;0
50;1;20;5.3;4;0;26;0;Gul;1;16;0
51;0;16;10.7;2;0;57;1;Gul;1;47;1
52;1;20;4.8;2;1;40;0;Roed;1;35;0
53;0;19;5.9;2;0;42;1;Groen;1;15;1
54;1;19;6.3;2;1;40;0;Groen;0;47;0
55;0;19;7.8;2;1;16;0;Gul;0;21;1
56;1;20;4.3;4;1;28;0;Roed;1;33;0
57;1;19;3.6;4;0;46;0;Gul;1;19;1
58;0;20;8.2;2;0;11;0;Roed;0;48;1
59;0;19;5.6;1;1;20;0;Gul;0;6;0
60;0;18;8.4;4;1;20;0;Blaa;1;1;0
61;0;19;4.3;1;1;29;0;Blaa;1;2;0
62;0;20;7.7;4;0;59;0;Lilla;1;13;1
63;0;17;7.4;2;1;9;0;Gul;1;43;1
64;0;19;2.2;4;1;34;0;Groen;1;12;0
65;0;17;5.8;2;1;15;0;Lilla;0;49;1
66;1;18;3;4;1;58;1;Blaa;1;49;0
67;1;16;3.8;2;1;11;0;Gul;0;34;1
68;0;18;12.4;2;1;27;0;Lilla;0;26;1
69;1;19;5;2;0;46;1;Gul;0;11;0
70;1;17;10.9;2;0;44;0;Blaa;1;16;0
71;1;17;4.2;1;0;28;0;Lilla;0;28;0
72;1;20;9.3;2;0;24;0;Blaa;0;36;1
73;0;17;10.5;1;0;27;0;Roed;0;0;0
74;1;20;8.7;1;0;20;0;Blaa;0;29;0
75;0;16;7.3;2;0;16;1;Gul;1;27;1
76;1;19;6.8;1;0;32;0;Groen;1;42;0
77;1;20;6.4;4;1;20;0;Blaa;0;10;0
78;1;16;11.7;2;1;21;0;Groen;0;15;0
79;0;17;10.3;1;0;41;0;Roed;1;39;1
80;1;17;12.4;2;1;58;0;Lilla;1;46;0
81;0;16;3.4;2;0;38;0;Lilla;1;16;0
82;1;17;9.1;2;0;9;0;Groen;0;17;1
83;0;16;11.2;1;0;9;0;Lilla;1;36;1
84;1;20;4.4;4;0;57;0;Blaa;0;2;0
85;0;20;3.5;4;1;21;0;Groen;0;42;1
86;0;16;9.3;1;1;10;1;Gul;1;28;1
87;1;20;8.8;2;0;38;0;Blaa;0;3;0
88;0;20;10.3;1;0;39;0;Blaa;1;29;1
89;1;20;3.8;1;0;41;0;Blaa;0;18;0
90;1;18;10.1;1;0;20;0;Gul;1;30;1
91;1;19;4.6;2;0;6;0;Roed;0;36;0
92;1;17;4.8;1;0;58;0;Lilla;0;1;1
93;1;18;4.5;2;1;19;0;Groen;1;30;1
94;1;20;10.3;1;1;42;1;Roed;1;5;1
95;1;16;9.7;4;0;44;0;Groen;1;39;0
96;1;20;7.2;1;1;39;0;Lilla;1;39;0
97;1;19;6.1;1;0;22;1;Gul;0;48;0
98;1;20;11.9;4;0;20;1;Blaa;1;17;0
99;1;16;6.2;2;0;38;1;Blaa;1;32;0
100;0;19;10.1;2;1;53;0;Gul;0;7;0
101;0;20;6.6;1;1;57;0;Roed;1;26;1
102;1;19;6.8;4;1;11;0;Roed;1;2;0
103;1;17;7.1;2;0;14;0;Groen;0;41;0
104;1;17;5.6;1;1;57;0;Gul;1;7;0
105;1;20;10.1;4;0;46;0;Roed;1;11;0
106;1;19;7.7;2;1;54;1;Gul;1;11;0
107;1;16;4.7;2;0;16;0;Lilla;1;8;0
108;1;20;11.6;4;0;37;1;Blaa;1;12;1
109;1;17;6.4;4;0;44;0;Blaa;1;19;0
110;0;17;7.7;4;1;42;0;Blaa;0;43;1
111;1;20;11.4;4;0;27;0;Gul;1;48;0
112;0;19;8.6;1;1;6;0;Gul;0;4;0
113;1;17;3.3;4;0;37;0;Groen;0;19;0
114;1;19;11.7;2;1;19;0;Blaa;0;10;1
115;0;17;8.3;2;1;30;1;Groen;0;26;1
116;1;17;5.1;1;1;58;0;Blaa;1;44;0
117;0;18;3;2;0;27;0;Groen;1;44;1
118;1;17;10.8;2;0;51;0;Groen;1;16;1
119;1;16;8.2;4;0;15;0;Lilla;0;28;0
120;0;20;7.6;2;1;42;0;Groen;1;40;1
121;1;20;11.5;1;0;59;0;Gul;1;25;0
122;0;19;10.8;4;0;11;0;Groen;1;47;1
123;1;17;4;4;0;5;0;Blaa;0;21;0
124;0;16;5.8;1;0;29;0;Groen;0;37;1
125;0;19;4.5;4;1;10;0;Roed;1;10;0
126;1;18;9.6;4;0;46;0;Blaa;0;34;1
127;1;19;2.7;1;1;55;0;Roed;0;27;0
128;0;19;8.7;4;0;29;0;Blaa;1;49;1
129;1;17;10.5;1;0;19;0;Gul;0;46;0
130;1;18;11.2;1;0;29;0;Gul;0;30;0
131;1;19;5.5;2;0;45;1;Gul;1;26;0
132;0;16;10.6;2;0;5;0;Roed;0;20;0
133;0;16;3;4;1;37;1;Lilla;0;35;1
134;0;20;10.2;4;0;39;1;Blaa;0;15;1
135;0;18;3.2;1;1;40;0;Gul;0;7;0
136;0;18;6.7;4;0;18;0;Blaa;0;11;1
137;0;20;10.2;1;0;44;0;Roed;0;48;1
138;0;19;4.2;1;1;10;0;Lilla;0;26;1
139;0;18;4.6;4;0;16;0;Roed;0;45;1
140;0;16;9.3;1;0;53;0;Blaa;1;38;1
141;1;16;9.3;2;0;46;0;Lilla;1;1;0
142;0;17;8.7;4;0;6;1;Lilla;1;43;1
143;1;18;9;2;1;19;0;Roed;1;25;0
144;1;19;7.3;4;0;17;0;Gul;0;19;0
145;1;20;4.4;1;1;20;0;Blaa;1;15;0
146;0;20;6.5;4;1;19;0;Groen;1;22;1
147;0;19;4.2;2;0;8;0;Groen;0;50;1
148;0;17;11.1;1;1;30;1;Roed;0;34;1
149;0;20;8.9;4;0;45;0;Blaa;0;24;1
150;1;18;6.3;4;1;38;0;Blaa;0;46;0
151;0;17;7.1;4;0;42;0;Roed;0;32;1
152;0;18;12.7;2;1;9;1;Blaa;1;48;1
153;0;16;4.2;2;0;57;0;Gul;0;46;1
154;0;17;8.5;4;0;51;0;Roed;1;30;1
155;0;20;7.1;1;1;49;0;Gul;1;43;1
156;1;17;8.8;1;1;50;0;Blaa;0;22;0
157;0;17;2.3;2;0;56;0;Roed;1;16;0
158;1;17;11.9;1;0;35;0;Blaa;1;10;1
159;0;17;11.4;2;1;16;0;Roed;0;40;1
160;1;18;8.6;4;1;39;0;Blaa;1;42;0
161;0;16;9.7;2;1;46;1;Gul;1;45;1
162;0;19;11.4;2;1;46;0;Gul;1;18;0
163;1;17;9;4;1;34;0;Blaa;0;15;0
164;1;20;4.4;1;1;9;0;Roed;0;48;0
165;1;17;8.9;2;0;25;0;Groen;0;3;1
166;0;20;8.3;2;0;56;1;Gul;1;47;1
167;1;18;6.1;4;1;37;0;Gul;0;23;0
168;0;20;9.2;1;1;35;0;Groen;1;15;0
169;0;19;11.1;2;0;20;0;Blaa;0;6;0
170;1;16;11.2;4;0;25;0;Roed;1;14;0
171;1;20;6.2;2;1;54;0;Blaa;0;10;0
172;0;20;3.2;4;0;42;0;Lilla;0;33;1
173;0;16;12.8;1;0;48;0;Gul;1;9;1
174;1;19;10.4;1;0;30;1;Lilla;0;46;0
175;1;17;3.3;1;0;40;0;Gul;1;5;0
176;1;20;11.9;1;0;19;0;Gul;0;23;1
177;0;16;11.9;2;0;44;1;Lilla;0;9;0
178;0;18;7.2;2;0;29;0;Lilla;1;27;1
179;0;16;8;1;1;29;0;Blaa;1;18;0
180;0;18;6.3;1;0;41;0;Lilla;1;24;1
181;0;19;2.8;1;1;56;0;Blaa;0;13;0
182;0;17;5.1;2;1;9;0;Blaa;1;46;1
183;1;16;10.4;1;0;50;0;Blaa;0;47;0
184;0;20;2.5;1;1;21;1;Gul;1;38;1
185;0;19;5.8;1;0;29;0;Gul;1;42;1
186;0;16;6.1;4;1;6;0;Lilla;1;6;0
187;1;20;7.2;1;0;22;0;Gul;1;39;0
188;0;16;11.7;4;1;33;0;Lilla;1;1;0
189;0;18;6;4;1;8;0;Gul;1;33;1
190;1;16;6.1;1;0;32;0;Roed;0;41;0
191;0;16;9.6;4;0;56;1;Roed;1;11;0
192;0;16;6.5;1;1;11;0;Lilla;0;17;0
193;0;19;4;2;1;47;0;Gul;1;25;1
194;0;16;6.2;2;0;28;0;Gul;1;22;1
195;0;20;3.3;2;1;41;0;Blaa;1;14;0
196;1;18;4.3;2;0;19;0;Groen;0;39;1
197;1;18;7.2;4;1;14;0;Lilla;0;0;1
198;1;16;6.5;1;0;14;0;Groen;1;1;0
199;0;19;11.8;1;1;9;0;Groen;0;17;0
200;0;19;6;1;0;15;0;Lilla;1;40;1
201;0;20;8.3;2;0;42;0;Gul;1;16;0
202;1;16;8.2;2;0;53;0;Lilla;0;46;0
203;0;18;2.5;1;0;50;1;Groen;0;48;1
204;0;19;9.1;2;0;43;0;Gul;0;37;1
205;1;16;4.6;1;0;11;0;Roed;0;27;0
206;0;19;12.8;1;1;21;0;Lilla;1;7;1
207;1;19;4.7;1;0;22;0;Lilla;0;14;0
208;1;18;6.2;1;0;19;0;Gul;0;13;1
209;1;17;3.2;1;0;33;0;Roed;1;29;0
210;0;20;12.9;1;0;34;0;Roed;0;33;1
211;0;20;7;1;0;25;1;Gul;0;31;1
212;0;18;8.7;2;0;24;0;Blaa;0;1;0
213;0;19;3.2;1;0;51;0;Lilla;0;48;1
214;0;16;10.2;1;0;48;0;Lilla;1;7;1
215;0;19;4.6;2;0;22;1;Groen;1;21;1
216;0;18;11.8;2;0;55;0;Gul;0;28;1
217;1;20;4.5;2;0;57;0;Groen;0;14;0
218;0;19;4.6;1;0;23;0;Groen;1;26;1
219;1;20;2.7;4;1;24;0;Roed;0;6;1
220;0;16;7.1;4;0;33;0;Lilla;0;5;1
221;0;20;8.4;2;1;57;1;Groen;0;29;1
222;0;20;3.5;4;0;53;0;Roed;0;36;1
223;1;17;10.9;2;1;11;1;Gul;0;20;1
224;1;17;6.1;1;1;27;0;Groen;0;4;0
225;1;17;7.6;4;0;35;0;Lilla;0;39;0
226;1;20;6.2;1;1;33;0;Groen;0;19;0
227;0;18;6.8;4;0;16;0;Gul;0;18;0
228;1;20;8.7;1;0;52;1;Groen;1;13;0
229;0;18;4.4;4;1;42;1;Lilla;1;43;1
230;0;18;4.6;1;1;51;1;Roed;1;14;1
231;1;17;11.7;1;0;52;0;Lilla;0;5;1
232;1;19;12.9;4;0;46;0;Roed;0;41;0
233;1;16;6;1;0;29;0;Blaa;1;38;0
234;1;17;5.5;1;0;39;1;Lilla;0;1;0
235;1;17;8.3;1;1;14;0;Lilla;1;41;0
236;1;19;6.1;4;0;42;0;Gul;0;7;0
237;1;16;2.5;4;0;15;0;Groen;1;25;0
238;1;20;4.2;1;0;43;0;Roed;1;38;1
239;0;20;9.7;1;0;18;1;Roed;1;6;1
240;1;17;9.2;4;0;11;0;Gul;0;28;0
241;1;16;2.2;4;1;14;0;Gul;1;24;0
242;0;17;4.3;1;1;5;0;Groen;0;32;1
243;1;18;4.5;1;1;45;0;Groen;0;20;1
244;0;17;9.1;1;0;45;0;Lilla;0;42;1
245;0;17;2.4;2;1;33;0;Blaa;0;30;1
246;1;20;3.6;4;1;14;1;Groen;0;2;1
247;0;20;10.8;2;1;10;1;Gul;0;37;1
248;0;20;4;4;0;6;0;Groen;0;17;0
249;0;18;8.5;4;0;14;0;Roed;1;34;1
250;0;20;4.8;4;0;54;1;Blaa;1;11;0
251;1;16;3.1;4;0;18;0;Lilla;1;43;1
252;0;19;4.8;4;0;24;0;Roed;0;2;1
253;1;16;9.8;4;0;11;0;Roed;0;27;1
254;0;16;11.5;4;0;17;0;Blaa;0;38;1
255;0;20;10.4;2;1;34;0;Lilla;0;46;1
256;0;19;6.7;1;0;38;1;Gul;1;42;1
257;0;19;9;1;0;18;0;Lilla;0;24;1
258;1;19;4.7;2;1;8;0;Groen;1;33;0
259;1;18;5.3;2;1;27;0;Roed;0;9;1
260;0;20;11.2;2;1;18;0;Groen;1;28;1
261;0;19;2.7;2;1;17;0;Gul;0;38;1
262;1;18;3.8;4;0;58;0;Groen;1;19;1
263;0;17;4.5;1;1;39;0;Lilla;0;15;1
264;0;17;2.2;4;0;36;0;Groen;1;42;1
265;0;18;4.2;1;0;28;1;Gul;0;42;1
266;1;18;8.2;1;0;29;1;Gul;1;48;1
267;1;20;6.7;2;0;35;0;Gul;1;13;0
268;1;20;11.3;4;0;43;0;Lilla;0;17;0
269;0;17;10.4;2;1;44;0;Gul;1;26;1
270;0;19;5.6;4;1;14;0;Roed;0;8;0
271;1;17;5.7;1;0;33;0;Gul;0;10;0
272;1;19;6.8;2;0;28;0;Groen;0;21;0
273;1;19;8.1;2;1;53;0;Groen;1;7;0
274;1;20;5.6;1;1;40;1;Groen;1;40;0
275;0;16;8.6;1;0;34;1;Lilla;0;44;1
276;1;16;6.1;1;1;11;1;Groen;0;37;0
277;0;18;8.5;2;0;38;0;Lilla;1;47;1
278;1;20;6.6;4;0;11;0;Lilla;1;23;0
279;0;19;5.9;2;1;24;0;Gul;1;3;0
280;1;16;12.2;4;0;13;0;Roed;0;48;0
281;1;19;10.6;2;0;43;0;Gul;0;44;0
282;1;16;3.5;2;1;16;0;Gul;0;27;0
283;1;16;11.9;1;1;27;0;Lilla;0;3;1
284;0;16;7.2;4;0;54;1;Lilla;0;34;1
285;1;20;11.2;2;0;16;0;Groen;1;25;0
286;0;17;10.7;2;0;33;0;Groen;0;48;1
287;0;19;6.2;1;1;28;0;Gul;1;43;1
288;0;20;2.4;1;0;6;0;Blaa;1;1;0
289;0;20;5.3;4;0;49;0;Blaa;0;2;1
290;1;20;7.7;2;1;9;0;Groen;1;50;0
291;0;20;8.3;4;0;31;0;Blaa;0;2;0
292;0;20;5.1;2;0;36;0;Groen;1;18;0
293;0;18;3.1;4;0;40;0;Lilla;0;7;0
294;1;19;10.5;1;1;43;0;Gul;0;27;1
295;1;20;12.1;2;0;19;0;Roed;1;24;0
296;1;19;7.8;4;0;6;1;Gul;0;26;0
297;1;18;4.5;1;1;45;0;Groen;1;17;0
298;0;18;5.1;1;0;34;0;Groen;0;43;1
299;0;19;2.3;4;0;51;0;Gul;0;49;1
300;1;16;11.8;2;0;50;1;Groen;0;35;1
301;0;17;3.4;2;0;51;1;Blaa;1;15;0
302;0;16;8.6;1;0;32;0;Blaa;1;40;1
303;0;16;5.2;2;0;23;0;Groen;0;16;0
304;1;16;8.7;2;0;49;1;Groen;1;2;0
305;1;20;8.9;2;0;30;0;Blaa;0;45;0
306;0;18;10.2;1;1;15;0;Groen;1;16;0
307;1;16;4.3;4;1;52;0;Groen;1;28;0
308;1;18;2.7;2;1;54;1;Gul;0;7;1
309;1;19;3.6;1;1;31;1;Roed;0;41;1
310;1;17;11.4;1;0;9;0;Blaa;0;15;1
311;1;19;11.2;4;1;26;0;Gul;0;8;0
312;0;19;8.1;2;0;49;0;Roed;0;3;0
313;1;20;8.4;2;1;55;0;Groen;1;16;0
314;0;17;9.3;4;1;16;1;Groen;1;25;1
315;0;19;4.1;4;1;9;0;Gul;0;19;0
316;1;19;11.3;1;1;53;0;Groen;0;7;1
317;0;17;6.4;1;0;26;0;Lilla;0;21;1
318;0;17;6.4;4;0;35;0;Gul;1;48;1
319;0;19;7.8;2;0;58;0;Roed;0;3;0
320;1;17;2.8;1;0;9;0;Gul;0;16;0
321;1;19;4.7;1;0;41;0;Blaa;1;16;1
322;0;19;9.2;2;1;9;0;Gul;1;39;1
323;1;20;3.8;1;1;26;0;Groen;1;17;0
324;1;16;8.7;2;0;49;0;Groen;1;30;1
325;1;19;4.1;2;1;29;0;Lilla;0;17;0
326;1;18;6.7;2;1;60;1;Lilla;1;45;1
327;0;16;5.4;4;1;36;1;Lilla;1;17;0
328;0;16;6.9;4;1;23;1;Roed;0;0;0
329;1;16;9.8;4;0;17;0;Lilla;0;48;0
330;1;20;5.8;2;1;24;1;Roed;0;1;0
331;0;19;8.9;2;1;25;0;Lilla;1;30;1
332;0;20;7.3;4;0;9;0;Roed;0;6;0
333;1;19;9.6;1;0;25;0;Gul;1;11;0
334;0;20;11.4;2;1;31;0;Gul;1;22;1
335;1;20;9.6;1;0;45;0;Groen;1;13;0
336;1;18;4.4;1;1;41;0;Roed;0;6;0
337;0;20;2.2;2;1;44;0;Blaa;1;30;1
338;0;17;5.8;2;0;5;0;Groen;0;34;1
339;1;18;8.5;1;0;17;0;Gul;0;17;0
340;1;20;2.8;1;1;41;0;Roed;0;10;0
341;0;16;7.3;4;0;32;0;Lilla;1;12;1
342;1;17;8.2;4;0;5;1;Blaa;1;10;0
343;0;17;5.7;2;0;49;1;Gul;1;28;1
344;1;17;10.2;4;0;48;0;Groen;0;9;0
345;0;18;3.5;4;1;35;0;Roed;1;44;1
346;0;20;3.8;4;0;9;0;Blaa;1;23;1
347;0;20;9.1;4;1;47;1;Roed;1;50;1
348;1;16;7.8;1;0;37;0;Lilla;1;34;0
349;1;16;9;2;0;48;0;Groen;1;32;0
350;0;17;6.7;4;1;46;0;Roed;0;30;1
351;1;16;4.4;1;1;49;0;Gul;0;15;0
352;0;18;10.3;1;0;33;0;Groen;0;31;1
353;0;20;10.2;1;0;13;1;Gul;0;28;1
354;1;17;9.7;4;0;42;0;Roed;1;38;0
355;1;16;5.5;4;0;39;0;Groen;0;31;0
356;0;18;8.1;2;1;46;1;Gul;1;39;1
357;1;18;6.9;4;0;14;1;Lilla;0;46;0
358;1;16;3.6;4;0;16;0;Lilla;0;20;0
359;0;20;11.5;1;0;54;0;Roed;0;17;1
360;0;16;3.7;2;1;46;0;Groen;1;19;0
361;1;17;12.2;4;1;55;1;Blaa;1;27;1
362;0;16;6.1;4;0;47;0;Groen;0;31;1
363;0;18;4.3;1;1;38;1;Lilla;1;7;0
364;1;16;7.7;1;0;41;0;Gul;0;24;1
365;0;20;11.5;4;0;54;0;Blaa;0;26;1
366;0;19;9.8;2;1;37;0;Roed;0;49;1
367;1;16;10.8;2;1;40;0;Blaa;1;33;0
368;1;20;9.5;1;1;14;0;Roed;0;31;0
369;0;20;9.7;1;0;31;0;Blaa;0;30;1
370;0;18;10.7;4;0;44;0;Roed;0;21;1
371;1;20;4.9;1;1;20;1;Roed;1;23;0
372;1;20;7;4;0;16;0;Blaa;0;20;1
373;1;20;4.6;2;0;22;0;Blaa;1;12;0
374;1;20;12.2;2;0;18;0;Roed;0;9;1
375;0;17;11.7;4;1;17;0;Lilla;1;14;0
376;1;17;2.3;1;0;28;0;Blaa;0;2;0
377;1;18;9;2;0;55;0;Groen;0;49;1
378;0;16;11.9;1;1;33;1;Gul;1;40;1
379;1;20;4.4;2;0;15;0;Roed;1;50;0
380;0;16;8.6;4;0;9;0;Roed;0;18;1
381;1;16;11.7;4;0;43;0;Gul;1;5;0
382;1;18;2.1;4;0;26;0;Lilla;0;38;0
383;1;20;9.8;2;0;50;0;Gul;0;4;1
384;0;20;5.1;1;0;41;1;Blaa;0;47;1
385;0;19;11.2;1;1;49;1;Gul;1;3;0
386;1;16;12.2;1;0;20;0;Roed;0;32;0
387;0;16;11.6;2;1;43;0;Gul;1;45;1
388;0;17;7.4;2;0;20;0;Groen;0;26;1
389;0;19;11.1;2;0;57;0;Blaa;1;37;1
390;0;17;10.1;2;0;40;0;Gul;1;36;1
391;0;17;5.2;2;0;23;0;Roed;0;35;1
392;0;17;10.4;1;1;20;0;Blaa;1;10;0
393;1;18;2.4;2;0;16;0;Roed;0;23;0
394;1;18;8;2;0;43;0;Lilla;0;34;1
395;0;17;4.4;1;1;17;0;Groen;0;19;0
396;1;19;3.8;2;1;38;0;Lilla;0;14;1
397;1;16;3.8;1;1;20;0;Groen;0;36;1
398;1;19;9.8;1;0;41;1;Gul;1;29;1
399;1;20;5.3;4;1;50;0;Blaa;0;44;0
400;0;18;9.7;4;0;48;0;Gul;1;41;1
401;1;16;3.7;4;0;47;0;Groen;1;16;0
402;1;16;5.6;4;0;15;1;Groen;0;41;1
403;0;20;7.3;2;0;10;0;Groen;1;24;1
404;0;20;10.8;4;0;43;0;Roed;0;15;0
405;1;17;5.3;1;0;25;0;Blaa;1;45;0
406;1;18;8.1;2;1;29;0;Gul;1;22;0
407;1;18;11.2;4;0;7;1;Gul;1;37;0
408;1;19;8.5;1;0;19;0;Lilla;0;2;0
409;1;17;4.9;2;0;7;1;Groen;1;26;0
410;1;17;2.7;2;1;53;1;Groen;0;10;1
411;0;17;11.6;4;0;18;1;Groen;1;22;1
412;1;17;2.2;2;0;36;0;Gul;1;48;0
413;1;18;11.8;1;1;7;0;Lilla;1;18;1
414;0;18;7.7;2;1;42;0;Roed;1;2;0
415;0;17;11.1;1;0;23;0;Blaa;0;20;0
416;0;19;10.6;2;1;54;0;Roed;0;9;0
417;0;16;12.1;4;1;54;0;Gul;1;6;0
418;1;16;6.7;1;1;23;0;Groen;1;39;0
419;1;19;10.1;2;0;55;0;Blaa;0;39;0
420;1;17;6.3;2;1;60;1;Gul;0;19;0
421;1;18;7.6;2;0;50;0;Gul;0;29;0
422;1;16;8.3;1;0;51;1;Gul;0;8;0
423;1;20;11.1;1;0;19;0;Blaa;1;5;0
424;0;20;12.6;1;0;37;1;Blaa;1;32;1
425;1;19;10.3;4;0;9;0;Lilla;0;38;0
426;0;17;6.8;4;1;10;0;Lilla;0;11;0
427;0;16;6.8;1;0;60;1;Roed;0;36;1
428;1;17;9.4;2;0;23;0;Blaa;0;9;0
429;0;16;4.4;4;0;46;1;Blaa;0;29;1
430;1;19;3.7;1;0;49;0;Blaa;0;17;1
431;0;19;6.5;2;1;52;0;Lilla;1;45;1
432;1;20;5.2;4;0;60;0;Gul;1;19;0
433;0;17;5.4;2;0;18;0;Groen;1;27;1
434;1;20;4.8;2;0;7;0;Lilla;0;21;0
435;1;17;2.5;2;0;28;0;Blaa;0;42;1
436;1;20;2.8;2;0;12;0;Lilla;0;13;1
437;1;18;12.1;4;1;6;0;Roed;1;7;1
438;1;18;6.2;4;1;25;1;Blaa;0;39;0
439;0;18;6.5;4;0;48;1;Roed;0;45;1
440;0;18;9.3;1;1;36;0;Blaa;1;49;1
441;0;16;4.9;4;1;22;0;Lilla;0;18;0
442;1;18;12.4;2;1;41;0;Gul;1;20;1
443;0;19;10.8;4;0;18;0;Groen;1;23;1
444;1;19;3.1;2;0;6;1;Roed;0;38;0
445;1;16;6.3;1;0;47;1;Lilla;1;30;1
446;0;18;11.5;2;1;39;0;Gul;0;20;0
447;0;18;11.6;2;1;47;0;Lilla;1;25;1
448;1;18;7.8;2;0;7;0;Roed;0;1;0
449;0;20;8.8;1;0;51;1;Groen;1;43;1
450;1;17;4.3;4;1;39;0;Lilla;0;15;0
451;1;20;12.5;4;1;36;0;Blaa;1;30;1
452;1;17;4.6;1;1;39;0;Gul;1;29;0
453;1;18;11.7;2;1;53;0;Lilla;1;14;1
454;1;18;8.7;4;0;37;0;Gul;0;15;0
455;0;20;8.8;1;0;37;1;Blaa;0;0;0
456;0;20;7.5;4;1;59;0;Groen;1;44;1
457;1;17;4.9;1;0;47;0;Groen;0;45;0
458;1;19;4.1;2;0;29;0;Blaa;1;14;1
459;0;17;4.1;4;1;44;0;Gul;0;21;1
460;0;20;4.7;1;0;26;0;Lilla;1;36;1
461;1;20;10.2;4;1;18;0;Blaa;0;46;1
462;0;16;6.5;4;0;38;0;Roed;1;46;1
463;1;20;3.7;4;1;56;0;Gul;1;5;0
464;0;16;12.1;4;0;56;0;Groen;1;40;1
465;1;19;11.6;1;0;24;0;Blaa;1;34;0
466;0;17;11.5;2;1;34;1;Groen;0;39;1
467;1;17;12.5;1;0;17;0;Gul;1;32;0
468;0;16;4.1;1;1;60;0;Groen;0;47;1
469;0;17;6.5;1;1;59;0;Blaa;0;24;1
470;1;20;10.6;2;0;41;0;Gul;1;47;0
471;0;18;9.4;4;0;49;0;Roed;0;10;0
472;1;16;4.6;4;0;44;0;Blaa;0;38;0
473;0;17;10.4;4;0;38;0;Lilla;0;23;1
474;1;16;4.6;2;1;8;0;Blaa;1;6;0
475;0;16;4.6;4;1;30;0;Gul;0;17;1
476;1;18;7.1;2;1;42;1;Blaa;0;23;1
477;0;20;8.6;4;1;42;1;Roed;1;34;1
478;1;16;8.3;4;0;26;0;Roed;1;33;0
479;0;17;3.3;1;1;57;0;Lilla;0;17;0
480;1;19;11.1;2;1;14;1;Groen;1;0;1
481;1;16;5.9;1;1;33;1;Gul;0;17;0
482;1;16;3.7;1;1;43;0;Gul;0;22;0
483;0;18;11.6;1;0;43;0;Groen;0;13;1
484;1;20;12;2;1;41;0;Roed;1;27;0
485;0;19;11.9;2;0;20;0;Roed;0;47;1
486;1;17;10.4;4;0;14;0;Blaa;1;22;0
487;0;19;9.4;1;0;40;0;Lilla;1;2;0
